,network_structure,loss,acc,f1
0,10,0.8286120059800013,0.6779661091034022,0.6796619464520046
1,25,0.7797659837593467,0.706214682867298,0.7070707070707071
2,50,0.7614233056030705,0.7118644003814223,0.7077966073039964
3,100,0.7986706158535629,0.7231638354096709,0.7210406378983762
4,500,0.8739760507971553,0.7231638381036661,0.7187069203198235
5,1000,0.9991328884652779,0.7005649764659041,0.6954364504533505
6,10 25,0.7933318049220716,0.7062146855612933,0.7037810945273631
7,10 50,0.7427574059384018,0.7401129990647741,0.7373554801750718
8,10 100,0.7715935346770422,0.7005649707411642,0.6987775751583
9,10 500,0.9269378643251408,0.7175141178955466,0.7172005607185504
10,10 1000,0.8166990024221819,0.745762711190908,0.7393456777555322
11,25 10,0.81593539283774,0.7062146855612933,0.7084056352013902
12,25 50,0.8833367629239788,0.6949152478390495,0.6899119111128007
13,25 100,0.8594260862318136,0.7457627165788985,0.7417708293996954
14,25 500,1.0064725262970575,0.700564968047169,0.7014202172096909
15,25 1000,0.9922898576758002,0.7401129879520438,0.7403773897553801
16,50 10,0.8144613955653993,0.7005649707411642,0.6982861744745512
17,50 25,0.8784678426839537,0.6666666710444089,0.6582010996276576
18,50 100,0.8979094398897246,0.740112990646039,0.739623114524589
19,50 500,0.9836706259829849,0.7457627165788985,0.7408607587179015
20,50 1000,1.1861020905823358,0.677966100684667,0.6739289776643037
21,100 10,0.8304106697524335,0.7231638381036661,0.7160703685715828
22,100 25,0.9982895184371431,0.6553672252401794,0.650416110430123
23,100 50,0.9993929263562132,0.7062146966740236,0.7019815760683098
24,100 500,1.19042372838252,0.7457627054661681,0.737466195132099
25,100 1000,1.2005375657377944,0.7175141178955466,0.7076464931332187
26,500 10,1.0005310396690152,0.7175141205895419,0.7132122565879372
27,500 25,0.9910262762489965,0.7627118691212713,0.7566145092460882
28,500 50,1.14746197401467,0.7005649653531737,0.6902391282501649
29,500 100,1.0105425799633823,0.7570621516071471,0.7507645259938838
30,500 1000,1.3501336197395108,0.706214682867298,0.6968434378472951
31,1000 10,1.004581909395207,0.7570621489131518,0.7463689488207782
