,network_structure,loss,acc,f1
0,10,0.7958303117482676,0.6610169511730388,0.6623344013174521
1,25,0.7185036135932147,0.7570621516071471,0.7554436513301375
2,50,0.7342029116248007,0.7796610162756538,0.7774207094595443
3,100,0.7680015819894392,0.7683615812474052,0.766585865291367
4,500,0.754379924744536,0.751412436787018,0.7481341322400924
5,1000,0.8744013437443534,0.7288135586485351,0.7204887585532745
6,10 25,0.7257572301363541,0.6836158266175265,0.6783751280834588
7,10 50,0.7490912046136156,0.7514124313990275,0.7490295107942168
8,10 100,0.7407313565076408,0.7683615755226653,0.766585865291367
9,10 500,0.8127455351042883,0.7118644141881479,0.7105420808811219
10,10 1000,0.7307227233708915,0.7457627138849032,0.7469411695846716
11,25 10,0.730663906719725,0.7288135586485351,0.7272105856706353
12,25 50,0.7963651610633075,0.7062146909492838,0.705929925092743
13,25 100,0.7780357676710786,0.7175141236202865,0.7124641399095223
14,25 500,0.7987809228358296,0.7457627138849032,0.7449292681351333
15,25 1000,0.7822070088090196,0.7514124287050322,0.7505315275957477
16,50 10,0.7181403209260628,0.7514124313990275,0.7510709622839404
17,50 25,0.7110333782804887,0.7344632761626594,0.7308847308847309
18,50 100,0.7204434713401363,0.7570621516071471,0.7575613055978353
19,50 500,0.8586161688896222,0.7062146939800285,0.7084489584489585
20,50 1000,0.8381486046785689,0.7288135667305208,0.7263448518508792
21,100 10,0.7118202868827992,0.7740112930367895,0.7718377697061244
22,100 25,0.8100347094616648,0.6836158155047961,0.6772751784982419
23,100 50,0.8565673838227482,0.6949152562577846,0.6920740362232443
24,100 500,0.8250552931074369,0.751412426011037,0.7462447804755882
25,100 1000,0.9085890007557842,0.7231638354096709,0.7197563087205653
26,500 10,0.8190855208763295,0.7344632788566546,0.7350090522504317
27,500 25,0.8397351540414627,0.7740113014555247,0.7712899532217871
28,500 50,0.9806540504013751,0.7457627054661681,0.7428109371602521
29,500 100,0.8432510080984084,0.7344632704379195,0.7319277379826102
30,500 1000,1.059302949635996,0.7344632704379195,0.728921530574608
31,1000 10,0.7735224588442657,0.7796610162756538,0.7762010646182872
32,1000 25,0.9311709481444063,0.7401129879520438,0.7359854706323397
33,1000 50,0.9403412530651201,0.73446327582591,0.7322308925384872
34,1000 100,0.9403080792076843,0.7627118691212713,0.7616391457451059
35,1000 500,0.9783744798541743,0.7627118691212713,0.7612121628027261
36,10 25 50,0.8938138259332732,0.6553672333221651,0.6523785887867829
37,10 25 100,0.7312758305651993,0.7288135613425303,0.7318927811885558
38,10 25 500,0.7606764573835384,0.7062146939800285,0.6986427090410574
39,10 25 1000,0.7646883756427442,0.7288135667305208,0.7283357114931109
40,10 50 25,0.7760356984569527,0.7570621435251613,0.7562686741735515
41,10 50 100,0.7728339857974295,0.7401129990647741,0.7369937772453495
42,10 50 500,0.7843244486609421,0.7175141290082769,0.7002553180581912
43,10 50 1000,0.7788858154399246,0.751412436787018,0.7483797329784941
44,10 100 25,0.7751963761566723,0.7231638381036661,0.7225679980396963
45,10 100 50,0.7722769871269916,0.7401130017587694,0.7412231559290383
46,10 100 500,0.8373964752181101,0.7288135667305208,0.7283070911389496
47,10 100 1000,0.6955016147618913,0.7627118637332808,0.7588053740014523
48,10 500 25,0.9355227529665845,0.6949152559210352,0.6951401022455187
49,10 500 50,0.778589840325932,0.7514124340930227,0.7505128205128205
50,10 500 100,0.8669026682605852,0.7005649791598993,0.701548161352083
51,10 500 1000,0.8425715993353202,0.7457627138849032,0.7472771759285157
52,10 1000 25,0.7869531936564688,0.69491525322704,0.6934934934934934
53,10 1000 50,0.8050501599150189,0.7457627138849032,0.7441647597254004
54,10 1000 100,0.8413307788008351,0.7401129963707789,0.7385653578106407
55,10 1000 500,0.781252708812218,0.7175141205895419,0.7155361868233155
56,25 10 50,0.7384751725331539,0.7740112933735389,0.7742586593467679
57,25 10 100,0.7653830755228377,0.7740113014555247,0.7706349206349207
58,25 10 500,0.8033535918273494,0.7288135640365255,0.7232344716215683
59,25 10 1000,0.891614861070773,0.6497175077260551,0.650128374450124
60,25 50 10,0.7940672262240265,0.7457627138849032,0.7457929760088033
61,25 50 100,0.7765274492360777,0.7344632788566546,0.7344358618868423
62,25 50 500,0.9367516700830837,0.6553672252401794,0.6513333775214866
63,25 50 1000,0.7133876445603236,0.7909604513039024,0.7900465527839661
64,25 100 10,0.8144015548592907,0.7514124340930227,0.7513886688643971
65,25 100 50,0.8021428372900364,0.7344632788566546,0.7342274740586018
66,25 100 500,0.8608412257695602,0.7231638465224013,0.7224998355674801
67,25 100 1000,0.8457826369226316,0.7401129963707789,0.7418575037622658
68,25 500 10,0.7661968580747055,0.7231638465224013,0.7235261244414151
69,25 500 50,0.8674896942020136,0.740112990646039,0.7389508049082517
70,25 500 100,0.8642854646774335,0.6779661064094069,0.6743925047496475
71,25 500 1000,0.824220342824688,0.6892655414376555,0.6826648461057063
72,25 1000 10,0.840437276215203,0.6949152616457751,0.6888792583227087
73,25 1000 50,0.8377666342056403,0.7005649764659041,0.7019384072131628
74,25 1000 100,0.8963795287460931,0.706214682867298,0.7059349712666357
75,25 1000 500,0.9117457038265163,0.6892655330189204,0.6810391652372784
76,50 10 25,0.7574015007180682,0.700564968047169,0.7020772991996015
77,50 10 100,0.7886825789839534,0.7288135640365255,0.7224795060151177
78,50 10 500,0.8289757347376333,0.779661018969649,0.7744431105775643
79,50 10 1000,0.9130601552920153,0.7570621543011423,0.7525829848992124
80,50 25 10,0.7730216094329532,0.7627118664272761,0.7607116920842412
81,50 25 100,0.817081968326353,0.7514124313990275,0.7507645259938838
82,50 25 500,0.8717566853189199,0.7457627192728937,0.7428826969384246
83,50 25 1000,0.8620080661638981,0.6723163915892779,0.6673070037731691
84,50 100 10,0.7735709433501723,0.7401129936767836,0.7405108832523836
85,50 100 25,0.764796319317683,0.7796610108876633,0.7775748896049648
86,50 100 500,0.883685734985912,0.69491525322704,0.6858224315367173
87,50 100 1000,0.827446494062068,0.7627118664272761,0.7614940555661517
88,50 500 10,0.8772049515934314,0.7062146966740236,0.706159420289855
89,50 500 25,0.841847754804428,0.6892655441316508,0.683269884337037
90,50 500 100,0.8579124865558861,0.7457627138849032,0.7436203655024848
91,50 500 1000,1.0510951448968575,0.7062146882552885,0.7053802958124353
92,50 1000 10,0.7766170532016431,0.7909604513039024,0.7878207753207752
93,50 1000 25,0.9607173675871165,0.7288135667305208,0.7269582961335647
94,50 1000 100,0.8648269715282203,0.7344632731319147,0.7294793049917857
95,50 1000 500,0.9715043124506029,0.6723163777825523,0.6687295385500013
96,100 10 25,0.8176726722447886,0.7457627165788985,0.7459860654029095
97,100 10 50,0.7149345942136258,0.7740113041495199,0.7712113312478276
98,100 10 500,0.933406039819879,0.723163843828406,0.7232506553740675
99,100 10 1000,1.0233834082797422,0.6384180834737875,0.627918665322188
100,100 25 10,0.834033579812885,0.7683615812474052,0.7665239744678997
101,100 25 50,0.8011423278663118,0.7401129879520438,0.7401490826414353
102,100 25 500,0.8585013329646008,0.7514124340930227,0.7486661418700254
103,100 25 1000,0.9358386697068726,0.7514124256742876,0.7475380780240869
104,100 50 10,0.7962670238678065,0.7570621404944167,0.7555852247441033
105,100 50 25,0.9060755338372484,0.7344632842446451,0.7330805988635317
106,100 50 500,0.8320073273222325,0.7796610216636443,0.7742803701847514
107,100 50 1000,0.8929574765728019,0.7514124340930227,0.7493542626755096
108,100 500 10,0.9217776430528716,0.7457627165788985,0.7443232507074368
109,100 500 25,0.9478144315676501,0.7175141263142818,0.7098062128736974
110,100 500 50,0.8211774230003357,0.7683615839414004,0.7655714659515769
111,100 500 1000,1.242117797587551,0.7457627081601633,0.740675937523418
