,network_structure,loss,acc,f1
0,10,0.7444006315732407,0.7288135529237952,0.7207842574909235
1,25,0.812486471429383,0.7344632785199052,0.7194545916217979
2,50,0.8807380132082492,0.7231638461856519,0.7050357193712483
3,100,0.9511844458553077,0.7231638461856519,0.7053682896379527
4,500,1.3181037741192316,0.7005649788231499,0.6759177007905103
5,1000,1.3825547385350458,0.7118644111574033,0.6873882341037033
6,10 25,0.9600434909432621,0.7231638461856519,0.7049748377502684
7,10 50,1.0484918234711986,0.7118644111574033,0.6915735470446117
8,10 100,1.1105540297125693,0.7005649761291547,0.6781937530465706
9,10 500,1.1531443521801361,0.7288135610057809,0.711399171493035
10,10 1000,1.3821524199792894,0.706214693643279,0.6824564324564325
11,25 10,0.8646734299632789,0.7344632785199052,0.7172058736103679
12,25 50,1.0419805413585599,0.7288135610057809,0.7108018386108274
13,25 100,1.164676265527973,0.7231638488796471,0.7014560901367498
14,25 500,1.4399307434168238,0.7005649788231499,0.6760880817420984
15,25 1000,1.4492490736104675,0.7005649761291547,0.6799424097475072
16,50 10,0.9674704310584203,0.7231638461856519,0.7037624305066165
17,50 25,1.2131357112173307,0.706214693643279,0.6838542087270182
18,50 100,1.255189844443973,0.706214693643279,0.6807151979565772
19,50 500,1.5712438747707733,0.7005649788231499,0.6759177007905103
20,50 1000,1.5402755467905163,0.7005649788231499,0.6833817422626013
21,100 10,1.12396006867037,0.7005649788231499,0.6790713456027858
22,100 25,1.226892669322127,0.7062146963372742,0.6836638393178559
23,100 50,1.4795949647655595,0.65536722490343,0.6137967828212242
24,100 500,1.5309544175358143,0.7005649761291547,0.6799424097475072
25,100 1000,1.7183286645318154,0.7005649788231499,0.6748912120108875
26,500 10,1.46557788256198,0.7005649761291547,0.6767055886024821
27,500 25,1.5226430232915502,0.6949152475023,0.6714882259244909
28,500 50,1.6814963858006364,0.6666666737384042,0.6281843584928885
29,500 100,1.6445703129310392,0.7118644138513985,0.6902148176847905
30,500 1000,1.9724691830112435,0.6440677979571671,0.6064441887226697
31,1000 10,1.5242207023383534,0.7005649788231499,0.6745199245199246
32,1000 25,1.539737561328263,0.7005649788231499,0.6788066640836884
33,1000 50,1.6154072325108415,0.7005649788231499,0.6802026618269812
34,1000 100,1.6376952680490784,0.6553672387101556,0.6269890537380759
35,1000 500,1.968251714598661,0.6949152475023,0.6793897262945374
36,10 25 50,1.3905337766065435,0.6949152613090257,0.6712167611932784
37,10 25 100,1.2593530894672804,0.7288135583117857,0.7070990806945862
38,10 25 500,1.4779429287560242,0.6610169562242799,0.620272622942685
39,10 25 1000,1.7056350384728383,0.6892655437949013,0.6623577906850532
40,10 50 25,1.227466736809682,0.6892655357129156,0.6550500873081518
41,10 50 100,1.4024956616978188,0.706214693643279,0.6827343492657895
42,10 50 500,1.508912947218297,0.7062146963372742,0.6814454259855625
43,10 50 1000,1.7140389175738318,0.6892655299881757,0.6629863085183813
44,10 100 25,1.268380324719316,0.7175141259775324,0.6949639916794608
45,10 100 50,1.4252563223326946,0.6949152613090257,0.6700636717457575
46,10 100 500,1.67438323619002,0.7005649788231499,0.6748912120108875
47,10 100 1000,1.8786982156462588,0.6949152613090257,0.669090150384387
48,10 500 25,1.6411638704396911,0.6836158151680467,0.6593076211950986
49,10 500 50,1.7739693714400468,0.6610169562242799,0.620272622942685
50,10 500 100,1.5962778457814017,0.7231638461856519,0.7005789181089123
51,10 500 1000,1.8530557923397775,0.6949152613090257,0.6703899191991095
52,10 1000 25,1.7145032936570335,0.7005649761291547,0.6739366622312212
53,10 1000 50,1.8326592633953203,0.7118644111574033,0.6883780332056194
54,10 1000 100,1.6788109709314034,0.6553672387101556,0.6147018371156302
55,10 1000 500,1.7490781148274739,0.6779661060726575,0.6578306085052712
56,25 10 50,1.2592858419579975,0.7062146963372742,0.6835767616445714
57,25 10 100,1.4135641472487799,0.7005649761291547,0.6759177007905103
58,25 10 500,1.7637469350954906,0.6497175073893057,0.6062907273966734
59,25 10 1000,1.591168258149745,0.65536722490343,0.612198275862069
60,25 50 10,1.5883069738829876,0.7118644111574033,0.6881821056868495
61,25 50 100,1.4731047638392045,0.7231638461856519,0.7048710493238229
62,25 50 500,1.6980156817678678,0.6836158124740515,0.6564016976679499
63,25 50 1000,1.8556874579628981,0.6836158151680467,0.6557804208412729
64,25 100 10,1.5221222591938945,0.7005649761291547,0.6759177007905103
65,25 100 50,1.4073672779535844,0.7118644138513985,0.6902148176847905
66,25 100 500,1.6707162183556854,0.7118644138513985,0.6882585545376242
67,25 100 1000,1.7236150307843914,0.7005649788231499,0.6791496724755902
68,25 500 10,1.9084700985816911,0.7005649788231499,0.6787864021348184
69,25 500 50,1.7503067962193892,0.7005649788231499,0.6759177007905103
70,25 500 100,1.681290747755665,0.6779661060726575,0.6484651897314418
71,25 500 1000,2.015568686070415,0.6497175073893057,0.6080102917219631
72,25 1000 10,2.4947445931407692,0.6836158235867819,0.660184086661859
73,25 1000 50,1.9774882321977345,0.6949152475023,0.6700636717457575
74,25 1000 100,1.753242180172333,0.6949152501962953,0.6693486590038314
75,25 1000 500,1.7405574402566684,0.7062146963372742,0.6882768806321503
76,50 10 25,1.045524036816958,0.711864408463408,0.6944351633706956
77,50 10 100,1.5824535553064722,0.6949152586150305,0.6715804967502038
78,50 10 500,1.5028595668447893,0.7175141286715275,0.6949639916794608
79,50 10 1000,1.8903368758616474,0.6836158151680467,0.6538035091441315
80,50 25 10,1.2696774699593667,0.6892655437949013,0.6659249818784955
81,50 25 100,1.54852386113614,0.7062146963372742,0.6827343492657895
82,50 25 500,1.7787889585656635,0.6949152475023,0.6701097286695493
83,50 25 1000,1.8039296104409601,0.6666666710444089,0.6281843584928885
84,50 100 10,1.7917666085022317,0.6949152586150305,0.6703899191991095
85,50 100 25,1.534830346619342,0.6836158262807771,0.6596181596181596
86,50 100 500,1.974530089372969,0.6610169562242799,0.6201985430284104
87,50 100 1000,2.0021022551477294,0.6892655299881757,0.6609536597163266
88,50 500 10,1.5301183792157362,0.7005649788231499,0.6789788626286107
89,50 500 25,1.7150046838878912,0.7005649761291547,0.6789788626286107
90,50 500 100,1.6505418214420815,0.6949152475023,0.673475470889264
91,50 500 1000,2.045768679872071,0.7062146963372742,0.6816886002157173
92,50 1000 10,1.6532313163671117,0.7118644111574033,0.692087542087542
93,50 1000 25,1.7796105274372855,0.6892655437949013,0.663385071092982
94,50 1000 100,1.8057254694275937,0.706214693643279,0.6827241809806708
95,50 1000 500,1.818242044772132,0.7005649650164243,0.6835188329246055
96,100 10 25,1.4085576170581882,0.7175141286715275,0.6939809665059943
97,100 10 50,1.3664928465913244,0.7175141259775324,0.6968124397661629
98,100 10 500,1.674112291659339,0.7005649788231499,0.6759139263955292
99,100 10 1000,1.8687619354765295,0.6892655299881757,0.6629863085183813
100,100 25 10,1.5059819019446938,0.6892655299881757,0.6641137541746062
101,100 25 50,1.5963051453822077,0.6949152613090257,0.6712167611932784
102,100 25 500,1.7378830721149336,0.7062146909492838,0.6838727938727939
