,network_structure,loss,acc,f1
0,10,0.8801753251566051,0.7288135556177905,0.7282267115600449
1,25,0.8280880363647547,0.6836158155047961,0.6829131652661066
2,50,0.8133366572654853,0.7344632842446451,0.7308686044535101
3,100,0.8712597512929453,0.7401129990647741,0.7369230769230769
4,500,0.8612815215762726,0.7231638354096709,0.7179625929625931
5,1000,0.9804669059602554,0.700564968047169,0.6947223277475273
6,10 25,0.8821940307563307,0.7118644114941527,0.712098349533869
7,10 50,0.9127893811565334,0.6892655357129156,0.6896553441639864
8,10 100,0.7676017476340472,0.7401129936767836,0.7390427870793168
9,10 500,0.8843063829982348,0.7118644030754175,0.7101821668264622
10,10 1000,1.0601208519800909,0.6892655384069108,0.6863766078347685
11,25 10,0.7926743845481657,0.7005649707411642,0.6967938610322717
12,25 50,0.8660739417803489,0.7175141317022722,0.7178727834469272
13,25 100,1.0106374153309623,0.7118644057694128,0.7084958164863959
14,25 500,1.0052803013957827,0.7288135556177905,0.7259546945596336
15,25 1000,1.0429306831737022,0.751412436787018,0.7474890492505915
16,50 10,0.8653169459542313,0.751412436787018,0.7442613408999964
17,50 25,1.006510383665225,0.69491525322704,0.6925077886202363
18,50 100,0.9373040125194916,0.6723163885585333,0.6651543209876544
19,50 500,1.093073784968274,0.7005649761291547,0.6960062192428825
20,50 1000,1.1319622003425986,0.700564968047169,0.6898471898471898
21,100 10,0.8242571212477603,0.7457627138849032,0.7400291900846461
22,100 25,0.9141738980503405,0.7062146882552885,0.6991725768321513
23,100 50,0.977958828042456,0.700564968047169,0.6961281008900057
24,100 500,1.2257869418731517,0.7118644030754175,0.7060945403802547
25,100 1000,1.2400586281792592,0.7175141205895419,0.7115301816929304
26,500 10,0.9192658002767186,0.7344632842446451,0.7255530417295123
27,500 25,1.0707678781390864,0.7231638354096709,0.7155032265408777
28,500 50,1.0674902342133603,0.7118644057694128,0.7042229254571027
29,500 100,1.1005262863838066,0.7288135583117857,0.7188304802302682
30,500 1000,1.5397273551272808,0.6949152586150305,0.6861219471202752
31,1000 10,1.0015075018176924,0.7231638354096709,0.7134950773558367
32,1000 25,1.1348083551320653,0.7231638492163965,0.7161876832844575
33,1000 50,1.180996622742906,0.7062146882552885,0.6963703786438296
34,1000 100,1.2557607202206629,0.7175141317022722,0.7109522425651457
35,1000 500,1.4452752945786815,0.7118644030754175,0.7069996556803098
36,10 25 50,0.9917884546484651,0.7118644003814223,0.7121569457149196
37,10 25 100,1.1161605402574701,0.6666666626256738,0.6630751173708921
38,10 25 500,1.0445159990235238,0.6892655303249251,0.6749987103551448
39,10 25 1000,0.8875423339800647,0.7062146882552885,0.7022081559896686
40,10 50 25,1.0120878179194563,0.7118644003814223,0.7082676930421291
41,10 50 100,1.1492295298872695,0.7062146909492838,0.7023796085353254
42,10 50 500,1.1148374693541876,0.6892655384069108,0.6875689017222987
43,10 50 1000,1.0412204063544839,0.7401129933400342,0.7319284017313192
44,10 100 25,1.0438638905347404,0.6892655330189204,0.6898101898101898
45,10 100 50,0.9201752146085104,0.6779661091034022,0.6811236745266432
46,10 100 500,1.074887160527504,0.6892655357129156,0.6876656706296226
47,10 100 1000,0.8891241018381496,0.7118644057694128,0.7112820512820512
48,10 500 25,0.9533367284947196,0.7175141205895419,0.7133382051014373
49,10 500 50,1.0844275971590462,0.689265532682171,0.683253502492133
50,10 500 100,1.0309267953290777,0.7344632731319147,0.7293227055131816
51,10 500 1000,0.9601556264748008,0.7175141178955466,0.7156411410446002
52,10 1000 25,0.9721284424517788,0.7062146882552885,0.7034502923976609
53,10 1000 50,1.0161859376282343,0.7118644088001574,0.7122896905075123
54,10 1000 100,1.1345901522932753,0.7231638465224013,0.7213464696223317
