,network_structure,loss,acc,f1
0,10,0.8505067289885828,0.6553672252401794,0.6542784247608684
1,25,0.738755461186339,0.7288135613425303,0.7276088408774494
2,50,0.7268445693840415,0.7401130017587694,0.7376891454561357
3,100,0.7877333911798768,0.7118644030754175,0.7066150831754161
4,500,0.7903104252734426,0.7344632815506499,0.7286166127225729
5,1000,0.8278509843147407,0.7288135613425303,0.7257392277541191
6,10 25,0.7741502425764913,0.7401130017587694,0.7401418695958896
7,10 50,0.849865502893588,0.7005649653531737,0.7017450615643547
8,10 100,0.8463186429718793,0.7344632842446451,0.7326892109500807
9,10 500,0.7538456849459201,0.751412436787018,0.7481392557022809
10,10 1000,0.7907518707426254,0.7288135667305208,0.7276158421018234
11,25 10,0.7401066008260695,0.7514124229802923,0.7505903879977204
12,25 50,0.8211625757190467,0.7570621462191566,0.7569264069264069
13,25 100,0.861040898972312,0.6949152559210352,0.6954528230390299
14,25 500,0.8288357661942304,0.706214682867298,0.7025863204081028
15,25 1000,0.8189557790756226,0.7401129963707789,0.7385350297218344
16,50 10,0.760086511824764,0.7683615812474052,0.7654761904761905
17,50 25,0.8302340160655437,0.7344632815506499,0.7336479029328092
18,50 100,0.7823644799027739,0.7062146855612933,0.7043924243598688
19,50 500,0.8386363690182314,0.7175141178955466,0.7159413685729475
20,50 1000,0.9119359443416704,0.7062146966740236,0.7035475939585529
21,100 10,0.845944772669151,0.7175141317022722,0.7169267707082834
22,100 25,0.8068112589545169,0.7401129963707789,0.7362272430765583
23,100 50,0.8695466656469356,0.6892655330189204,0.684344291960186
24,100 500,0.975404403977475,0.7062146855612933,0.7000600878042996
25,100 1000,1.01773867432007,0.7231638492163965,0.7196974332823389
26,500 10,0.8393376957898759,0.7118644141881479,0.7091869804741092
27,500 25,0.8549065189172993,0.785310733789778,0.7775934584009859
28,500 50,0.9449371638271095,0.7231638465224013,0.7194582715359834
29,500 100,0.9260113407663033,0.7175141205895419,0.708184781579277
30,500 1000,1.3035183013495752,0.7288135640365255,0.7247441616373655
31,1000 10,0.8405665145755488,0.7344632815506499,0.731830065359477
32,1000 25,0.9204985647551758,0.7401129936767836,0.7369477339890852
33,1000 50,1.0139781788917586,0.7288135613425303,0.7231611300576818
34,1000 100,1.1130655438213024,0.7005649707411642,0.6971794871794872
35,1000 500,1.1044035799759255,0.7288135667305208,0.7172915621191484
36,10 25 50,0.9151083577824177,0.7344632842446451,0.7332054633094517
37,10 25 100,0.8468989106894886,0.6949152478390495,0.6930096409985453
38,10 25 500,0.8203549391805789,0.7005649653531737,0.6971665543094114
39,10 25 1000,0.9128546401605768,0.7457627081601633,0.74434694168646
40,10 50 25,0.7607412745723616,0.7401129963707789,0.7406533892382949
41,10 50 100,0.8393700122833252,0.7231638465224013,0.7225915942897075
42,10 50 500,0.8433337218343875,0.7401129879520438,0.7336129860356144
43,10 50 1000,0.8559525117362287,0.7175141178955466,0.7176872084852833
44,10 100 25,0.855815742312178,0.6836158235867819,0.6785133067986635
45,10 100 50,0.9407627838479597,0.6892655411009061,0.6862717510311583
46,10 100 500,0.922543063338867,0.7118644003814223,0.7100076525828735
47,10 100 1000,0.8502440977904756,0.7118644088001574,0.7053659982295755
48,10 500 25,0.8243608036957218,0.7175141317022722,0.7189275710284114
49,10 500 50,0.7945040430726305,0.7570621516071471,0.7513149983542715
50,10 500 100,0.9893808728557522,0.7231638354096709,0.7258806274392821
51,10 500 1000,0.8665328295217396,0.7175141232835371,0.7163236007463083
52,10 1000 25,0.7931611615385713,0.7288135610057809,0.7284988804846249
53,10 1000 50,0.7811908476096762,0.711864408463408,0.7057277592733843
54,10 1000 100,0.8411170449634057,0.7005649788231499,0.696866952771519
55,10 1000 500,0.8818661257372065,0.706214693643279,0.7017633024711625
56,25 10 50,0.7810473539734964,0.7401129879520438,0.7390921980123858
