,network_structure,loss,acc,f1
0,10,0.6891958191569916,0.7231638354096709,0.7207425941370896
1,25,0.7446813199479702,0.6723163777825523,0.6659791167263839
2,50,0.6602379248640632,0.7570621404944167,0.7541165999109923
3,100,0.7098631993525446,0.69491525322704,0.6953488950207573
4,500,0.6850843742742376,0.7683615866353957,0.7672160489223656
5,1000,0.7760985672137158,0.7570621489131518,0.7547562760328718
6,10 25,0.7724790229635724,0.6892655441316508,0.6904565416015798
7,10 50,0.7251603478765757,0.7457627165788985,0.7424279483103012
8,10 100,0.7596439645115265,0.7627118691212713,0.7614157894867907
9,10 500,0.8107430746326338,0.6892655411009061,0.6868698907019506
10,10 1000,0.8233102667803145,0.6497175158080408,0.6381274320977949
11,25 10,0.6334792533836796,0.7796610162756538,0.7744115570051769
12,25 50,0.7676137864252942,0.723163843828406,0.7227080629596353
13,25 100,0.7113236087863728,0.7175141205895419,0.7149087672452158
14,25 500,0.8836947261950391,0.700564968047169,0.6992098628789276
15,25 1000,0.804379904337522,0.7344632785199052,0.73133088204533
16,50 10,0.7086636794488982,0.7570621404944167,0.7544223689083501
17,50 25,0.7879519748822444,0.7118644030754175,0.7092550666582125
18,50 100,0.7698596631739772,0.7627118718152666,0.7620535588161487
19,50 500,0.7780310016567424,0.7118644114941527,0.7118482118482118
20,50 1000,0.7705055956786635,0.7683615866353957,0.7667326384307516
21,100 10,0.7515145466152557,0.6892655387436603,0.6879846209886447
22,100 25,0.7148311932881674,0.751412436787018,0.7519224832308944
23,100 50,0.7152212895242508,0.7005649710779136,0.6952861952861952
24,100 500,0.8900519616186282,0.7231638407976614,0.7179299847792998
25,100 1000,0.9107220166147092,0.7288135529237952,0.7291640997878046
26,500 10,0.8339456595943473,0.7514124340930227,0.7482529699510833
27,500 25,0.776812292088223,0.7683615812474052,0.7664975282195808
28,500 50,0.8316541189527781,0.7570621543011423,0.7539344089423179
29,500 100,0.8185374349524073,0.7514124340930227,0.7526491526491527
30,500 1000,1.073200515434567,0.7062146855612933,0.7082763019108592
31,1000 10,0.7578836864670792,0.7796610246943889,0.7793880837359097
32,1000 25,0.8513361373863652,0.7401130017587694,0.7350811734755004
33,1000 50,0.9316640849840843,0.740112990646039,0.7400918882277624
